Name,Lat,Lon,pop,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,target_hou,full_popul,500mBufYN,450mBufYN,475mBufYN,400mBufYN,425mBufYN,350mBufYN,375mBufYN,newpop
8.20113E+11,1.496682,127.548218,98.08815,4.215686275,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.22549,435,1,1,1,1,1,1,1,0
8.20113E+11,1.493655,127.541893,192.79395,4.215686275,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.22549,855,1,,,,,,,0
8.20113E+11,1.504641,127.537355,527.457548,4.395480226,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.677966,778,1,1,1,1,1,1,1,0
8.20113E+11,1.499614,127.552275,151.343271,3.078431373,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.421569,359,1,1,1,1,1,1,1,0
8.20113E+11,1.503647,127.554328,18.970605,3.078431373,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.421569,45,1,1,1,1,1,1,1,0
8.20113E+11,1.501169,127.554062,226.804122,3.078431373,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.421569,538,1,1,1,1,1,1,1,0
8.20113E+11,1.49982,127.550314,19.20881,3.71978022,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.505495,38,1,1,1,1,1,1,1,0
8.20113E+11,1.501864,127.551145,323.011305,3.71978022,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.505495,639,1,1,1,1,1,1,1,0
8.20113E+11,1.458807,127.581974,228.633659,3.748091603,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.465649,491,1,1,1,1,1,1,1,0
8.20113E+11,1.3157,127.471551,417,4.009615385,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,1,417,,,,,,,,417
8.20113E+11,1.274269,127.542959,931.231017,3.374025974,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.716883,1299,1,1,1,1,1,1,1,0
8.20113E+11,1.360793,127.487371,1137.497534,4.197411003,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.438511,2594,1,1,1,1,1,1,1,0
8.20113E+11,1.373268,127.489968,417.910748,4.445859873,Halmahera,Ternate,MALUKU UTARA,BIG_Settlements,0.598726,698,1,1,1,1,1,1,1,0
